Los angeles	CA	+33.973951	-118.248405
West hollywood	CA	+33.786594	-118.298662
Bell	CA	+33.976663	-118.168903
Bell gardens	CA	+33.786594	-118.298662
Beverly hills	CA	+33.786594	-118.298662
Compton	CA	+33.874815	-118.240208
Culver city	CA	+33.786594	-118.298662
Downey	CA	+33.786594	-118.298662
El segundo	CA	+33.786594	-118.298662
Gardena	CA	+33.888315	-118.295256
Hawthorne	CA	+33.786594	-118.298662
Hermosa beach	CA	+33.786594	-118.298662
Huntington park	CA	+33.977987	-118.213137
Lawndale	CA	+33.786594	-118.298662
Lynwood	CA	+33.924538	-118.202954
Malibu	CA	+33.786594	-118.298662
Manhattan beach	CA	+33.786594	-118.298662
Maywood	CA	+33.988463	-118.187376
Pacific palisades	CA	+33.786594	-118.298662
Palos verdes peninsula	CA	+33.786594	-118.298662
Rancho palos verdes	CA	+33.786594	-118.298662
Redondo beach	CA	+33.786594	-118.298662
South gate	CA	+33.937714	-118.193403
Topanga	CA	+33.786594	-118.298662
Venice	CA	+33.786594	-118.298662
Marina del rey	CA	+33.786594	-118.298662
Playa del rey	CA	+33.786594	-118.298662
Inglewood	CA	+33.786594	-118.298662
Santa monica	CA	+33.786594	-118.298662
Torrance	CA	+33.835665	-118.303805
Whittier	CA	+34.004311	-118.044100
Buena park	CA	+33.640302	-117.769442
La palma	CA	+33.640302	-117.769442
Cypress	CA	+33.640302	-117.769442
La habra	CA	+33.640302	-117.769442
La mirada	CA	+33.786594	-118.298662
Montebello	CA	+33.786594	-118.298662
Norwalk	CA	+33.906763	-118.076549
Pico rivera	CA	+33.985812	-118.088787
Santa fe springs	CA	+33.927063	-118.063698
Stanton	CA	+33.640302	-117.769442
Artesia	CA	+33.865395	-118.073148
Cerritos	CA	+33.866914	-118.068648
Avalon	CA	+33.786594	-118.298662
Bellflower	CA	+33.888014	-118.129650
Harbor city	CA	+33.791267	-118.251554
Lakewood	CA	+33.786594	-118.298662
Hawaiian gardens	CA	+33.830967	-118.072796
Lomita	CA	+33.786594	-118.298662
Los alamitos	CA	+33.640302	-117.769442
Paramount	CA	+33.899015	-118.165152
